,date,price,delta,volume
127,2020.07.30,2267.01,3.85,713039
128,2020.07.29,2263.16,6.17,899494
129,2020.07.28,2256.99,39.13,866725
130,2020.07.27,2217.86,17.42,928624
131,2020.07.24,2200.44,-15.75,1001024
132,2020.07.23,2216.19,-12.47,934542
133,2020.07.22,2228.66,-0.17,856218
134,2020.07.21,2228.83,30.63,918483
135,2020.07.20,2198.2,-2.99,686819
136,2020.07.17,2201.19,17.43,569297
137,2020.07.16,2183.76,-18.12,784637
138,2020.07.15,2201.88,18.27,830266
139,2020.07.14,2183.61,-2.45,810952
140,2020.07.13,2186.06,35.81,650230
141,2020.07.10,2150.25,-17.65,886987
142,2020.07.09,2167.9,9.02,619368
143,2020.07.08,2158.88,-5.29,677810
144,2020.07.07,2164.17,-23.76,847434
145,2020.07.06,2187.93,35.52,666902
146,2020.07.03,2152.41,17.04,770054
147,2020.07.02,2135.37,28.67,1091965
148,2020.07.01,2106.7,-1.63,1116220
149,2020.06.30,2108.33,14.85,708604
150,2020.06.29,2093.48,-41.17,643155
151,2020.06.26,2134.65,22.28,761043
152,2020.06.25,2112.37,-49.14,1017720
153,2020.06.24,2161.51,30.27,913896
154,2020.06.23,2131.24,4.51,917567
155,2020.06.22,2126.73,-14.59,789371
156,2020.06.19,2141.32,7.84,1079452
157,2020.06.18,2133.48,-7.57,767184
158,2020.06.17,2141.05,3.0,927515
159,2020.06.16,2138.05,107.23,973638
160,2020.06.15,2030.82,-101.48,1072277
161,2020.06.12,2132.3,-44.48,689896
162,2020.06.11,2176.78,-18.91,827381
163,2020.06.10,2195.69,6.77,706294
164,2020.06.09,2188.92,4.63,817085
165,2020.06.08,2184.29,2.42,854035
166,2020.06.05,2181.87,30.69,854591
167,2020.06.04,2151.18,4.18,1393307
168,2020.06.03,2147.0,59.81,1152001
169,2020.06.02,2087.19,22.11,1000332
170,2020.06.01,2065.08,35.48,997348
171,2020.05.29,2029.6,1.06,1086214
172,2020.05.28,2028.54,-2.66,1172134
173,2020.05.27,2031.2,1.42,1178847
174,2020.05.26,2029.78,35.18,1017804
175,2020.05.25,1994.6,24.47,641458
176,2020.05.22,1970.13,-28.18,847467
177,2020.05.21,1998.31,8.67,601199
178,2020.05.20,1989.64,9.03,699446
179,2020.05.19,1980.61,43.5,773414
180,2020.05.18,1937.11,9.83,761695
181,2020.05.15,1927.28,2.32,866357
182,2020.05.14,1924.96,-15.46,760646
183,2020.05.13,1940.42,18.25,618783
184,2020.05.12,1922.17,-13.23,799930
185,2020.05.11,1935.4,-10.42,591282
186,2020.05.08,1945.82,17.21,784772
187,2020.05.07,1928.61,-0.15,775657
188,2020.05.06,1928.76,33.39,1082526
189,2020.05.04,1895.37,-52.19,1146855
190,2020.04.29,1947.56,13.47,1984181
191,2020.04.28,1934.09,11.32,1173476
192,2020.04.27,1922.77,33.76,735662
193,2020.04.24,1889.01,-25.72,933917
194,2020.04.23,1914.73,18.58,683719
195,2020.04.22,1896.15,16.77,820359
196,2020.04.21,1879.38,-18.98,1174293
197,2020.04.20,1898.36,-16.17,1087463
198,2020.04.17,1914.53,57.46,1667459
199,2020.04.16,1857.07,-0.01,878338
200,2020.04.14,1857.08,31.32,886766
201,2020.04.13,1825.76,-34.94,1017751
202,2020.04.10,1860.7,24.49,992548
203,2020.04.09,1836.21,29.07,920570
204,2020.04.08,1807.14,-16.46,907493
205,2020.04.07,1823.6,31.72,951738
206,2020.04.06,1791.88,66.44,1219388
207,2020.04.03,1725.44,0.58,1000086
208,2020.04.02,1724.86,39.4,766313
209,2020.04.01,1685.46,-69.18,1243590
210,2020.03.31,1754.64,37.52,1037488
211,2020.03.30,1717.12,-0.61,767776
212,2020.03.27,1717.73,31.49,1077526
213,2020.03.26,1686.24,-18.52,992473
214,2020.03.25,1704.76,94.79,872808
215,2020.03.24,1609.97,127.51,679288
216,2020.03.23,1482.46,-83.69,647528
217,2020.03.20,1566.15,108.51,817021
218,2020.03.19,1457.64,-133.56,977674
219,2020.03.18,1591.2,-81.24,728007
220,2020.03.17,1672.44,-42.42,649779
221,2020.03.16,1714.86,-56.58,682003
222,2020.03.13,1771.44,-62.89,1035277
223,2020.03.12,1834.33,-73.94,850344
224,2020.03.11,1908.27,-54.66,679716
225,2020.03.10,1962.93,8.16,638564
226,2020.03.09,1954.77,-85.45,666868
227,2020.03.06,2040.22,-45.04,865588
228,2020.03.05,2085.26,25.93,675205
229,2020.03.04,2059.33,45.18,606287
230,2020.03.03,2014.15,11.64,615692
231,2020.03.02,2002.51,15.5,528103
232,2020.02.28,1987.01,-67.88,671551
233,2020.02.27,2054.89,-21.88,562775
234,2020.02.26,2076.77,-26.84,810937
235,2020.02.25,2103.61,24.57,1565588
236,2020.02.24,2079.04,-83.8,948620
237,2020.02.21,2162.84,-32.66,635474
238,2020.02.20,2195.5,-14.84,709563
239,2020.02.19,2210.34,1.46,591155
240,2020.02.18,2208.88,-33.29,470424
241,2020.02.17,2242.17,-1.42,458247
242,2020.02.14,2243.59,10.63,597224
243,2020.02.13,2232.96,-5.42,638666
244,2020.02.12,2238.38,15.26,632462
245,2020.02.11,2223.12,22.05,526211
246,2020.02.10,2201.07,-10.88,609566
247,2020.02.07,2211.95,-15.99,800342
248,2020.02.06,2227.94,62.31,695216
249,2020.02.05,2165.63,7.73,574395
250,2020.02.04,2157.9,39.02,624641
251,2020.02.03,2118.88,-0.13,836699
252,2020.01.31,2119.01,-28.99,710507
253,2020.01.30,2148.0,-37.28,602838
254,2020.01.29,2185.28,8.56,692300
255,2020.01.28,2176.72,-69.41,808878
256,2020.01.23,2246.13,-21.12,509608
257,2020.01.22,2267.25,27.56,608509
258,2020.01.21,2239.69,-22.95,770319
259,2020.01.20,2262.64,12.07,545491
260,2020.01.17,2250.57,2.52,580816
261,2020.01.16,2248.05,17.07,808331
262,2020.01.15,2230.98,-7.9,746156
263,2020.01.14,2238.88,9.62,835899
264,2020.01.13,2229.26,22.87,488288
265,2020.01.10,2206.39,19.94,594536
266,2020.01.09,2186.45,35.14,592603
267,2020.01.08,2151.31,-24.23,913830
268,2020.01.07,2175.54,20.47,568235
269,2020.01.06,2155.07,-21.39,592670
270,2020.01.03,2176.46,1.29,631562
271,2020.01.02,2175.17,-22.5,494677
272,2019.12.30,2197.67,-6.54,416403
273,2019.12.27,2204.21,6.28,490167
274,2019.12.26,2197.93,7.85,571309
275,2019.12.24,2190.08,-13.63,569967
276,2019.12.23,2203.71,-0.47,502034
277,2019.12.20,2204.18,7.62,646682
278,2019.12.19,2196.56,1.8,643143
279,2019.12.18,2194.76,-0.92,591106
280,2019.12.17,2195.68,27.53,599534
281,2019.12.16,2168.15,-2.1,377053
282,2019.12.13,2170.25,32.9,540027
283,2019.12.12,2137.35,31.73,584636
284,2019.12.11,2105.62,7.62,668731
285,2019.12.10,2098.0,9.35,500064
286,2019.12.09,2088.65,6.8,393126
287,2019.12.06,2081.85,21.11,440188
288,2019.12.05,2060.74,-8.15,472188
289,2019.12.04,2068.89,-15.18,347002
290,2019.12.03,2084.07,-7.85,450039
291,2019.12.02,2091.92,3.96,385343
292,2019.11.29,2087.96,-30.64,433260
293,2019.11.28,2118.6,-9.25,335227
294,2019.11.27,2127.85,6.5,367796
295,2019.11.26,2121.35,-2.15,532600
296,2019.11.25,2123.5,21.54,397676
297,2019.11.22,2101.96,5.36,519852
298,2019.11.21,2096.6,-28.72,579554
299,2019.11.20,2125.32,-27.92,581056
300,2019.11.19,2153.24,-7.45,826885
301,2019.11.18,2160.69,-1.49,489233
302,2019.11.15,2162.18,22.95,556246
303,2019.11.14,2139.23,16.78,521109
304,2019.11.13,2122.45,-18.47,664365
305,2019.11.12,2140.92,16.83,610428
306,2019.11.11,2124.09,-13.14,617265
307,2019.11.08,2137.23,-7.06,574127
308,2019.11.07,2144.29,0.14,425662
309,2019.11.06,2144.15,1.51,410084
310,2019.11.05,2142.64,12.4,400643
311,2019.11.04,2130.24,30.04,476256
312,2019.11.01,2100.2,16.72,418314
313,2019.10.31,2083.48,3.21,461322
314,2019.10.30,2080.27,-12.42,415551
315,2019.10.29,2092.69,-0.91,357662
316,2019.10.28,2093.6,5.71,269233
317,2019.10.25,2087.89,2.23,348686
318,2019.10.24,2085.66,5.04,367717
319,2019.10.23,2080.62,-8.24,429453
320,2019.10.22,2088.86,24.02,504063
321,2019.10.21,2064.84,4.15,606108
322,2019.10.18,2060.69,-17.25,516687
323,2019.10.17,2077.94,-4.89,314177
324,2019.10.16,2082.83,14.66,524545
325,2019.10.15,2068.17,0.77,464533
326,2019.10.14,2067.4,22.79,511215
327,2019.10.11,2044.61,16.46,381147
328,2019.10.10,2028.15,-18.1,445846
329,2019.10.08,2046.25,24.52,437517
330,2019.10.07,2021.73,1.04,322184
331,2019.10.04,2020.69,-11.22,402940
332,2019.10.02,2031.91,-40.51,414460
333,2019.10.01,2072.42,9.37,389336
334,2019.09.30,2063.05,13.12,327625
335,2019.09.27,2049.93,-24.59,285943
336,2019.09.26,2074.52,1.13,430577
337,2019.09.25,2073.39,-27.65,651551
338,2019.09.24,2101.04,9.34,535771
339,2019.09.23,2091.7,0.18,420948
340,2019.09.20,2091.52,11.17,589919
341,2019.09.19,2080.35,9.62,493037
342,2019.09.18,2070.73,8.4,613147
343,2019.09.17,2062.33,0.11,507995
344,2019.09.16,2062.22,13.02,493516
345,2019.09.11,2049.2,17.12,429075
346,2019.09.10,2032.08,12.53,504390
347,2019.09.09,2019.55,10.42,511821
348,2019.09.06,2009.13,4.38,384440
349,2019.09.05,2004.75,16.22,488067
350,2019.09.04,1988.53,22.84,348722
351,2019.09.03,1965.69,-3.5,342077
352,2019.09.02,1969.19,1.4,262154
353,2019.08.30,1967.79,34.38,317733
354,2019.08.29,1933.41,-7.68,285103
355,2019.08.28,1941.09,16.49,284344
356,2019.08.27,1924.6,8.29,427042
357,2019.08.26,1916.31,-31.99,324853
358,2019.08.23,1948.3,-2.71,381086
359,2019.08.22,1951.01,-13.64,435564
360,2019.08.21,1964.65,4.4,391567
361,2019.08.20,1960.25,20.35,463604
362,2019.08.19,1939.9,12.73,481022
363,2019.08.16,1927.17,-11.2,421682
364,2019.08.14,1938.37,12.54,699585
365,2019.08.13,1925.83,-16.46,660040
366,2019.08.12,1942.29,4.54,427140
367,2019.08.09,1937.75,17.14,654344
368,2019.08.08,1920.61,10.9,777165
369,2019.08.07,1909.71,-7.79,760777
370,2019.08.06,1917.5,-29.48,739588
371,2019.08.05,1946.98,-51.15,639603
372,2019.08.02,1998.13,-19.21,438538
373,2019.08.01,2017.34,-7.21,461743
374,2019.07.31,2024.55,-14.13,589386
375,2019.07.30,2038.68,9.2,547029
376,2019.07.29,2029.48,-36.78,608670
377,2019.07.26,2066.26,-8.22,583332
378,2019.07.25,2074.48,-7.82,590890
379,2019.07.24,2082.3,-19.15,841580
380,2019.07.23,2101.45,8.11,640162
381,2019.07.22,2093.34,-1.02,320412
382,2019.07.19,2094.36,27.81,386118
383,2019.07.18,2066.55,-6.37,437178
384,2019.07.17,2072.92,-18.95,752119
385,2019.07.16,2091.87,9.39,674500
386,2019.07.15,2082.48,-4.18,455075
387,2019.07.12,2086.66,6.08,398353
388,2019.07.11,2080.58,21.8,368242
389,2019.07.10,2058.78,6.75,350018
390,2019.07.09,2052.03,-12.14,433474
391,2019.07.08,2064.17,-46.42,507760
392,2019.07.05,2110.59,1.86,452463
393,2019.07.04,2108.73,12.71,440234
394,2019.07.03,2096.02,-26.0,510185
395,2019.07.02,2122.02,-7.72,442102
396,2019.07.01,2129.74,-0.88,405153
397,2019.06.28,2130.62,-3.7,529503
398,2019.06.27,2134.32,12.47,637264
399,2019.06.26,2121.85,0.21,725559
400,2019.06.25,2121.64,-4.69,634514
401,2019.06.24,2126.33,0.71,660547
402,2019.06.21,2125.62,-5.67,680199
403,2019.06.20,2131.29,6.51,996213
404,2019.06.19,2124.78,26.07,847570
405,2019.06.18,2098.71,7.98,584434
406,2019.06.17,2090.73,-4.68,547928
407,2019.06.14,2095.41,-7.74,465636
408,2019.06.13,2103.15,-5.6,543630
409,2019.06.12,2108.75,-3.06,686305
410,2019.06.11,2111.81,12.32,542183
411,2019.06.10,2099.49,27.16,452195
412,2019.06.07,2072.33,3.22,357532
413,2019.06.05,2069.11,2.14,372801
414,2019.06.04,2066.97,-0.88,428182
415,2019.06.03,2067.85,26.11,381005
416,2019.05.31,2041.74,2.94,426548
417,2019.05.30,2038.8,15.48,444802
418,2019.05.29,2023.32,-25.51,368271
419,2019.05.28,2048.83,4.62,474627
420,2019.05.27,2044.21,-1.1,342684
421,2019.05.24,2045.31,-14.28,471975
422,2019.05.23,2059.59,-5.27,500234
423,2019.05.22,2064.86,3.61,500633
424,2019.05.21,2061.25,5.54,516057
425,2019.05.20,2055.71,-0.09,622980
426,2019.05.17,2055.8,-11.89,519449
427,2019.05.16,2067.69,-25.09,733268
428,2019.05.15,2092.78,10.94,556549
429,2019.05.14,2081.84,2.83,688582
430,2019.05.13,2079.01,-29.03,494836
431,2019.05.10,2108.04,6.03,701729
432,2019.05.09,2102.01,-66.0,729216
433,2019.05.08,2168.01,-8.98,448442
434,2019.05.07,2176.99,-19.33,472192
435,2019.05.03,2196.32,-16.43,609795
436,2019.05.02,2212.75,9.16,358950
437,2019.04.30,2203.59,-12.84,374761
438,2019.04.29,2216.43,37.12,373525
439,2019.04.26,2179.31,-11.19,560739
440,2019.04.25,2190.5,-10.53,427285
441,2019.04.24,2201.03,-19.48,564866
442,2019.04.23,2220.51,3.86,470609
443,2019.04.22,2216.65,0.5,487911
444,2019.04.19,2216.15,2.38,517275
445,2019.04.18,2213.77,-32.12,507550
446,2019.04.17,2245.89,-2.74,445956
447,2019.04.16,2248.63,5.75,561427
448,2019.04.15,2242.88,9.43,397924
449,2019.04.12,2233.45,9.01,436941
450,2019.04.11,2224.44,0.05,395009
451,2019.04.10,2224.39,10.83,390930
452,2019.04.09,2213.56,2.96,409577
453,2019.04.08,2210.6,0.99,335877
454,2019.04.05,2209.61,3.08,511707
455,2019.04.04,2206.53,3.26,425460
456,2019.04.03,2203.27,26.09,344289
457,2019.04.02,2177.18,8.9,250943
458,2019.04.01,2168.28,27.61,259056
459,2019.03.29,2140.67,12.57,357009
460,2019.03.28,2128.1,-17.52,284332
461,2019.03.27,2145.62,-3.18,358547
462,2019.03.26,2148.8,3.94,295608
463,2019.03.25,2144.86,-42.09,302120
464,2019.03.22,2186.95,2.07,291431
465,2019.03.21,2184.88,7.78,337350
466,2019.03.20,2177.1,-0.52,312810
467,2019.03.19,2177.62,-1.87,314207
468,2019.03.18,2179.49,3.38,249163
469,2019.03.15,2176.11,20.43,373548
470,2019.03.14,2155.68,7.27,337193
471,2019.03.13,2148.41,-8.77,279216
472,2019.03.12,2157.18,19.08,345710
473,2019.03.11,2138.1,0.66,260053
474,2019.03.08,2137.44,-28.35,308815
475,2019.03.07,2165.79,-9.81,287996
476,2019.03.06,2175.6,-3.63,320126
477,2019.03.05,2179.23,-11.43,308799
478,2019.03.04,2190.66,-4.78,367747
479,2019.02.28,2195.44,-39.35,489008
480,2019.02.27,2234.79,8.19,296431
481,2019.02.26,2226.6,-5.96,327193
482,2019.02.25,2232.56,2.06,333063
483,2019.02.22,2230.5,1.84,401737
484,2019.02.21,2228.66,-1.1,375779
485,2019.02.20,2229.76,24.13,369029
486,2019.02.19,2205.63,-5.26,384228
487,2019.02.18,2210.89,14.8,309197
488,2019.02.15,2196.09,-29.76,395651
489,2019.02.14,2225.85,24.37,561305
490,2019.02.13,2201.48,11.01,416940
491,2019.02.12,2190.47,9.74,423286
492,2019.02.11,2180.73,3.68,398632
493,2019.02.08,2177.05,-26.37,386225
494,2019.02.07,2203.42,-0.04,423145
495,2019.02.01,2203.46,-1.39,471733
496,2019.01.31,2204.85,-1.35,537459
497,2019.01.30,2206.2,22.84,469483
498,2019.01.29,2183.36,6.06,539639
499,2019.01.28,2177.3,-0.43,366842
500,2019.01.25,2177.73,32.7,402960
501,2019.01.24,2145.03,17.25,407782
502,2019.01.23,2127.78,10.01,401771
503,2019.01.22,2117.77,-6.84,414468
504,2019.01.21,2124.61,0.33,392704
505,2019.01.18,2124.28,17.22,449278
506,2019.01.17,2107.06,0.96,464810
507,2019.01.16,2106.1,8.92,492712
508,2019.01.15,2097.18,32.66,432915
509,2019.01.14,2064.52,-11.05,427924
510,2019.01.11,2075.57,12.29,372532
511,2019.01.10,2063.28,-1.43,375681
512,2019.01.09,2064.71,39.44,379519
513,2019.01.08,2025.27,-11.83,390699
